Material,Precursor 1,Precursor 2,Precursor 3,Precursor 4,GPC [Å],T [°C],Refs.
LaWO 4,La(thd) 3,W( t Bu N) 2 (Me 2 N) 2,O 3,H 2 O,0.48-0.58,250-375,[198]
LaPO 4,La(thd) 3,TMPO,H 2 O,O 3,0.78,275,[257]
LaCaPO 4,La(thd) 3,Ca(thd) 2,TMPO,H 2 O /O 3,0.78,275,[257]
La 2 CuO 4,La(thd) 3,Cu(acac) 2,O 3,,0.4,210-250,[258]
LaVO 4,La(thd) 3,VO(acac) 2,,,_,270,[259]
La x Zr 1-X O 2-𝛿,La( iPr Cp) 3,( Me Cp) 2 ZrMe(OMe),H 2 O,,_,300,"[260,261]"
,La(thd) 3,( Me Cp) 2 ZrMe(OMe),O 3,,_,300,[262]
,La(tmsa) 3,Zr[N(CH 2 CH 3 )] 4,H 2 O,,0.58-0.72,250,[263]
Li 0.32 La 0.30 TiO 2,La(thd) 3,O 3,TiCl 4 / LiO t Bu,H 2 O,0.15-0.35,225,[204]
Li 7 La 3 Zr 2 O 12,LiO t Bu,[La( i Pr Famd) 3 ],TDMAZ,O 3,0.8,225,[203]
La 1-X Sr x FeO 3,La(thd) 3,Sr(thd) 2,Fe(thd) 3,O 3,0.20 -0.30,260,[200]
La 1-X Sr x MnO 3,La( Me Cp) 3,Sr n-Pr Me 4 Cp 2,Mn Me Cp 2,H 2 O,5,300,[151]
La 1-X Ca x MnO 3,La(thd) 3,Ca(thd) 2,Mn(thd) 3,O 3,0.15-0.40,235-285,[199]
"(La,Sr)CoO 3-𝛿",La(thd) 3,Sr(thd) 2,Co(acac) 3,O 3,0.5,250-310,[32]
La 2-x Sr x CuO 4-y,La(thd) 3,Cu(acac) 2,Sr(thd) 2,O 3,0.4,225,[201]
LaNi x Cu 1-x O 3,La(thd) 3,Ni(acac) 2,Cu(acac) 2,O 3,_,225,[205]
LaF 3,La(thd) 3,TiF 4,,,2.00-5.00,225-350,[133]
,La(thd) 3,O 3,Hfac,,0.49,250-300,[264]
La 2 S3,La(thd) 3,H 2 S,,,0.15,360-410,[130]
CeO 2,Ce(thd) 4,O 3,,,0.32,175-375,"[182,265-268]"
,Ce(thd) 3 phen,O 3,,,0.42,225-350,[265]
,Ce(mmp) 4,O 2 plasma,,,_,150-300,[85]
,Ce( iPr Cp) 3,O 2 plasma,,,0.35,250,[269]
,Ce( iPr Cp) 3,H 2 O,,,0.2,250,[270]
,Ce( iPr2 amd)( iPr Cp) 2,H 2 O,,,1.9,240,[115]
,Ce( iPr2 amd) 3,O 3,,,2.8,210-270,[105]
,Ce(dpdmg) 3,H 2 O,,,2.1,160,[124]
,Ce( iPr2 famd)( iPr Cp) 2,H 2 O,,,1.5,245,[271]
CeO 2-Y 2 O 3,Ce(thd) 4,Y(thd) 3,O 3,,0.41-0.53,300,"[136,182]"
CeGdO 3,Ce(thd) 4,Gd(thd) 3,O 3k,,0.32,250,[272]
CeVO 4,Ce(thd) 4,VO(acac) 2,,,_,270,[259]
CeFeO x,Ce(thd) 4,Fe(CP) 2,,,_,270,[273]
CeMnO 3,Ce(thd) 4,Mn(thd) 3,,,_,270,[274]
Pr 2 O 3,Pr(tmsa) 3,H 2 O,,,0.15-2.90,200-400,[94]
