table_id,page,bbox,label,caption,csv_path,status
tab_0,,,1,Table 1 .,C:\Users\DSouzaJ\Code\ald-ale-orkg-review\ale\paper4\output\tables\tab_0.csv,ok_from_tei
tab_1,,,2,Table 2 .,C:\Users\DSouzaJ\Code\ald-ale-orkg-review\ale\paper4\output\tables\tab_1.csv,ok_from_tei
tab_2,,,3,Table 3 .,C:\Users\DSouzaJ\Code\ald-ale-orkg-review\ale\paper4\output\tables\tab_2.csv,ok_from_tei
tab_3,,,4,Table 4 .,C:\Users\DSouzaJ\Code\ald-ale-orkg-review\ale\paper4\output\tables\tab_3.csv,ok_from_tei
tab_4,,,5,Table 5 .,C:\Users\DSouzaJ\Code\ald-ale-orkg-review\ale\paper4\output\tables\tab_4.csv,ok_from_tei
tab_5,,,6,Table 6 .,C:\Users\DSouzaJ\Code\ald-ale-orkg-review\ale\paper4\output\tables\tab_5.csv,ok_from_tei
