"Title","host material matrix","annealing temperature in °c","external quantum efficiency in %","power efficiency ×10⁻⁴","threshold voltage in volts","emission lifetime in milliseconds","operational device lifetime in hours","research problem"
"Polycrystalline Er-doped Y<sub>3</sub>Ga<sub>5</sub>O<sub>12</sub> nanofilms fabricated by atomic layer deposition on silicon at a low temperature and the exploration on electroluminescence performance - Contribution 2","Y3Ga5O12","800","2.5","3.8","25","2.26","49","Identifying optimal host matrices and processing conditions for high-performance, stable Er³⁺-based MOSLED devices fabricated by ALD"
"Crystallization and electroluminescence performance of the Er-doped polycrystalline Gd3Ga5O12 nanofilms fabricated by atomic layer deposition on silicon - Contribution 2","Gd3Ga5O12","1000","1.9","3.6","30","1.59","","Identifying optimal host matrices and processing conditions for high-performance, stable Er³⁺-based MOSLED devices fabricated by ALD"
"Electroluminescence from Er-doped ZnGa2O4 spinel nanofilms fabricated by atomic layer deposition on silicon - Contribution 2","ZnGa2O4","800","0.3","","30","0.82","5.5","Identifying optimal host matrices and processing conditions for high-performance, stable Er³⁺-based MOSLED devices fabricated by ALD"
"Electroluminescent polycrystalline Er-doped Lu3Al5O12 nanofilms fabricated by atomic layer deposition on silicon - Contribution 2","Lu3Al5O12","1100","10","12","50","1.65","","Identifying optimal host matrices and processing conditions for high-performance, stable Er³⁺-based MOSLED devices fabricated by ALD"
"Electroluminescent Yb2O3:Er and Yb2Si2O7:Er nanolaminate films fabricated by atomic layer deposition on silicon - Contribution 2","Yb2O3","1000","8.5","10","60","","","Identifying optimal host matrices and processing conditions for high-performance, stable Er³⁺-based MOSLED devices fabricated by ALD"
"Silicon-based electroluminescent polycrystalline Er-doped Yb3Al5O12 nanofilms fabricated by atomic layer deposition - Contribution 2","Yb3Al5O12","1100","5.2","4.8","~5","1.2","","Identifying optimal host matrices and processing conditions for high-performance, stable Er³⁺-based MOSLED devices fabricated by ALD"
"Highly efficient and stable electroluminescence from Er-doped Ga2O3 nanofilms fabricated by atomic layer deposition on silicon - Contribution 2","Ga2O3","900","36","81","~15","2.04","100","Identifying optimal host matrices and processing conditions for high-performance, stable Er³⁺-based MOSLED devices fabricated by ALD"
"Enhancement of the Electroluminescence from Amorphous Er-Doped Al2O3 Nanolaminate Films by Y2O3 Cladding Layers Using Atomic Layer Deposition - Contribution 1","Al2O3-Y2O3","800","8.7","12","","","","Identifying optimal host matrices and processing conditions for high-performance, stable Er³⁺-based MOSLED devices fabricated by ALD"
"Energy Transfer Under Electrical Excitation and Enhanced Electroluminescence in the Nanolaminate Yb,Er Co‐Doped Al<sub>2</sub>O<sub>3</sub> Films - Contribution 2","Al2O3:Yb","","24","28","~14","0.90","","Identifying optimal host matrices and processing conditions for high-performance, stable Er³⁺-based MOSLED devices fabricated by ALD"
